2023-10-01 20:05:51.975 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:51.977 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:52.018 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.161 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.284 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:52.411 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:52.512 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.536 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.634 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:52.660 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.697 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.802 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:52.805 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.946 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:52.982 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:53.009 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.056 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.063 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.215 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:53.216 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.439 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.764 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.864 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.888 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.913 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:53.958 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.041 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.081 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.100 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.117 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.193 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.269 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.320 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:54.366 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.440 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.441 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.507 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.549 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.562 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:54.644 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:54.665 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
